NAMEASCII,COUNTRY,STATEPROV,LATITUDE,LONGITUDE,SCALERANK
Metlakatla,CA,BC,54.337,-130.444,10
Kitamaat,CA,BC,53.974,-128.65,8
Hartley Bay,CA,BC,53.425,-129.254,9
Skidegate,CA,BC,53.266,-131.991,9
Old Massett,CA,BC,54.04,-132.189,9
Bella Coola,CA,BC,52.372,-126.754,9
Klemtu,CA,BC,52.589,-128.521,9
Wuikinuxv,CA,BC,51.683,-127.25,9
Port McNeill,CA,BC,50.587,-127.081,10
Sayward,CA,BC,50.383,-125.961,9
Comox,CA,BC,49.683,-124.936,8
Qualicum Beach,CA,BC,49.348,-124.442,10
Parksville,CA,BC,49.319,-124.316,9
Gloucester,US,MA,42.616,-70.662,8
Port Orford,US,OR,42.746,-124.497,8